databarLabel,time,pixels_width,pixels_height,pixel_dimension_nm,field_of_view_width,field_of_view_height,sample_position_x,sample_position_y,multistage_X,multistage_Y,beam_shift_x,beam_shift_y,spot_size,detector,dwell_time_ns,contrast,gamma,brightness,pressure_Pa,high_voltage_kV,emission_current_uA,working_distance_mm
SEM1-426__Area 1,2024-12-17T22:14:17,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01958448439836502,0.004175792448222637,0.01958725369360789,-0.00417117163212898,2.769295242868036e-06,4.62081609365738e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:14:23,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01879042200744152,0.004175792448222637,0.01878725369360789,-0.00417117163212898,-3.168313833627062e-06,4.62081609365738e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:14:29,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01799635961651802,0.004175792448222637,0.01799725369360789,-0.00417117163212898,8.940770898739625e-07,4.62081609365738e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:14:35,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01720229722559452,0.004175792448222637,0.0172072536936079,-0.00417117163212898,4.956468013374987e-06,4.62081609365738e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:14:41,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01640823483467102,0.004175792448222637,0.01640725369360789,-0.00417117163212898,-9.81141063133989e-07,4.62081609365738e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:14:48,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01561417244374752,0.004175792448222637,0.01561725369360789,-0.00417117163212898,3.081249860367036e-06,4.62081609365738e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:14:53,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01482010912150145,0.004175792448222637,0.01481725369360789,-0.00417117163212898,-2.855427893553447e-06,4.62081609365738e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:14:59,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01402604673057795,0.004175792448222637,0.01402725369360789,-0.00417117163212898,1.206963029947578e-06,4.62081609365738e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:15:05,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01323198433965445,0.004175792448222637,0.0132272536936079,-0.00417117163212898,-4.730646046547521e-06,4.62081609365738e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:15:11,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01243792194873095,0.004175792448222637,0.0124372536936079,-0.00417117163212898,-6.682551230464961e-07,4.62081609365738e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:15:17,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01958448439836502,0.003381730057299137,0.01958725369360789,-0.003381171632128967,2.769295242868036e-06,5.584251701702334e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:15:24,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01879042200744152,0.003381730057299137,0.01878725369360789,-0.003381171632128967,-3.168313833627062e-06,5.584251701702334e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:15:29,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01799635961651802,0.003381730057299137,0.01799725369360789,-0.003381171632128967,8.940770898739625e-07,5.584251701702334e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:15:35,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01720229722559452,0.003381730057299137,0.0172072536936079,-0.003381171632128967,4.956468013374987e-06,5.584251701702334e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:15:41,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01640823483467102,0.003381730057299137,0.01640725369360789,-0.003381171632128967,-9.81141063133989e-07,5.584251701702334e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:15:47,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01561417244374752,0.003381730057299137,0.01561725369360789,-0.003381171632128967,3.081249860367036e-06,5.584251701702334e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:15:53,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01482010912150145,0.003381730057299137,0.01481725369360789,-0.003381171632128967,-2.855427893553447e-06,5.584251701702334e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:15:59,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01402604673057795,0.003381730057299137,0.01402725369360789,-0.003381171632128967,1.206963029947578e-06,5.584251701702334e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:16:05,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01323198433965445,0.003381730057299137,0.0132272536936079,-0.003381171632128967,-4.730646046547521e-06,5.584251701702334e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:16:11,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01243792194873095,0.003381730057299137,0.0124372536936079,-0.003381171632128967,-6.682551230464961e-07,5.584251701702334e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:16:17,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01958448439836502,0.002587667433544993,0.01958725369360789,-0.002591171632128982,2.769295242868036e-06,-3.504198583988323e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:16:24,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01879042200744152,0.002587667433544993,0.01878725369360789,-0.002591171632128982,-3.168313833627062e-06,-3.504198583988323e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:16:30,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01799635961651802,0.002587667433544993,0.01799725369360789,-0.002591171632128982,8.940770898739625e-07,-3.504198583988323e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:16:36,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01720229722559452,0.002587667433544993,0.0172072536936079,-0.002591171632128982,4.956468013374987e-06,-3.504198583988323e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:16:41,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01640823483467102,0.002587667433544993,0.01640725369360789,-0.002591171632128982,-9.81141063133989e-07,-3.504198583988323e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:16:47,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01561417244374752,0.002587667433544993,0.01561725369360789,-0.002591171632128982,3.081249860367036e-06,-3.504198583988323e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
